POND,percentage,first month macrophyte ,aantal maanden met macrophyten,pond age
RUL7,9.090909091,,0,36
RUL8,0,,0,36
RUL9,0,,0,36
RUL10,0,,0,36
RUL11,18.18181818,,0,36
RUL12,0,,0,36
RUL13,18.18181818,,0,36
RUL14,0,,0,36
RUL15,0,,0,36
BOF8,36.36363636,,0,36
BOF10,18.18181818,,0,36
RUL1,100,13,4,17
RUL2,100,13,4,17
RUL3,54.54545455,32,4,36
BOF7,45.45454545,,0,36
RUL5,45.45454545,32,4,36
BOF9,54.54545455,,0,36
RUL6,72.72727273,32,4,36
RUL4,100,24,12,36
RUL16,100,20,10,30
BOF1,81.81818182,19,17,36
BOF2,90.90909091,19,17,36
BOF3,100,17,19,36
BOF4,100,17,19,36
BOF6,100,17,19,36
BOF5,100,17,19,36
