"POND","Pondscape","Visit","Date","Max.depth","Conductivity","Oxygen","Oxygen..","pH","Water.temperature","Snell","Emerg","Float","Subm","TN","TP","day","month","year","meanCHLA","meanPC","DSC"
"RUL3","Rullen","1",2022-02-25,50,392,11.97,94.4,8.13,3.7,NA,0,0,0,1.81,0.193,56,"02","2022",35.7847687811587,483.533333333333,116
"RUL4","Rullen","1",2022-02-25,61,203.9,12.32,95.2,8.31,3.8,NA,0,0,0,1.3,0.049,56,"02","2022",72.4944129276259,1220,116
"RUL6","Rullen","1",2022-02-25,44,190.5,12.6,94.7,8.5,3.6,NA,0,0,0,1.58,0.233,56,"02","2022",63.675434072546,1523.66666666667,116
"BOF1","Boffereth","1",2022-03-03,31,76.1,14.56,128.1,7.48,9.8,NA,0,0,0,1.83,5.045,62,"03","2022",278.64878803507,3006.33333333333,122
"BOF2","Boffereth","1",2022-03-03,48,151.8,13.08,108.7,7.86,7.86,NA,0,0,0,1.79,3.749,62,"03","2022",81.3477737665463,585.2,122
"BOF3","Boffereth","1",2022-03-03,95,142.6,12.54,109.1,8.17,8.17,NA,0,0,0,2.12,2.816,62,"03","2022",88.5336083892041,591.866666666667,122
"BOF4","Boffereth","1",2022-03-03,96,91.4,17.91,154.5,8.04,8.04,NA,0,0,0,3.19,2.2,62,"03","2022",93.4502320783909,834.5,122
"BOF5","Boffereth","1",2022-03-03,99,101.4,18.38,159.6,7.93,7.93,NA,0,0,0,2.9,1.042,62,"03","2022",129.809179989685,1344.66666666667,122
"BOF6","Boffereth","1",2022-03-03,104,131.9,16.91,142.6,7.48,7.48,NA,0,0,0,3.04,1.25,62,"03","2022",239.934674230703,749.2,122
"BOF7","Boffereth","1",2022-03-03,37,161.3,8.85,79.6,7.57,7.57,NA,0,0,0,3.98,0.777,62,"03","2022",141.87725631769,1384,122
"BOF8","Boffereth","1",2022-03-03,29,78,12.64,118,7.5,7.5,NA,0,0,0,5.07,0.483,62,"03","2022",289.754168815541,7042,122
"BOF9","Boffereth","1",2022-03-03,36,202.6,NA,NA,7.98,7.98,NA,0,0,0,3.98,0.323,62,"03","2022",239.71119133574,7483.66666666667,122
"BOF10","Boffereth","1",2022-03-03,39,258,11.87,96.77,7.7,7.7,NA,0,0,0,28.38,0.163,62,"03","2022",18.6952037132543,337.666666666667,122
"RUL3","Rullen","2",2022-04-28,25,104.2,12.86,127.8,9.33,13.5,NA,0,0,0,1.69,0.332,118,"04","2022",4.30410864706894,54.53,178
"RUL4","Rullen","2",2022-04-28,42,432,11.07,111.7,9.01,13.7,NA,0,0,0,2.12,0.232,118,"04","2022",33.1940862987794,50.6566666666667,178
"RUL6","Rullen","2",2022-04-28,25,NA,11.24,119.4,8.51,17.5,NA,0,0,0,2.4,0.328,118,"04","2022",22.3431321987279,80.18,178
"RUL15","Rullen","2",2022-04-28,11,NA,11.22,128.7,9.35,20.4,NA,0,0,0,NA,NA,118,"04","2022",6.38301529998281,27.6066666666667,178
"RUL17","Rullen","2",2022-04-28,40,NA,9.28,98.3,8.49,16.9,NA,0,0,0,NA,NA,118,"04","2022",9.21952896682139,48.6633333333333,178
"BOF1","Boffereth","2",2022-04-28,15,NA,12.96,140.9,8.77,20.9,NA,0,0,0,NA,NA,118,"04","2022",58.8447653429603,80.1266666666667,178
"BOF2","Boffereth","2",2022-04-28,16,NA,11.35,125,8.22,22,NA,0,0,0,3.38,7.068,118,"04","2022",28.4287433384906,385,178
